,output_ID,flooded,alerts,t_EB_rate,risk
72,77452.0,0.0,0.0,0.13856915396902272,low
73,77452.0,0.0,0.0,0.15589029821515057,medium
74,77452.0,0.0,0.0,0.47676044094385,high
75,77473.0,0.0,0.0,0.013771352952845387,low
76,77473.0,0.016129032258064516,0.04838709677419355,0.012547538606869078,low
77,77473.0,0.0,0.0,0.12449631172979353,low
78,77473.0,0.0,0.0,0.1400583506960177,low
79,77473.0,0.0,0.0,0.5028400518713187,high
80,77493.0,0.0,0.0,0.017856457412069773,low
81,77493.0,0.016129032258064516,0.04838709677419355,0.01763817218541552,low
82,77493.0,0.0,0.0,0.18464122765556593,medium
83,77493.0,0.125,0.125,0.20772138111251165,medium
84,77493.0,0.0,0.0,0.5354860422943717,high
85,77566.0,0.0,0.0,0.008899658268228498,low
86,77566.0,0.0,0.0,0.004753864645824756,low
87,77566.0,0.0,0.0,0.07068037354712056,low
88,77566.0,0.0,0.0,0.07951542024051063,low
89,77566.0,0.0,0.0,0.27950567938520504,medium
90,77734.0,0.0,0.0,0.015359551841870043,low
91,77734.0,0.0,0.0,0.010194225264507938,low
92,77734.0,0.0,0.0,0.14973841492803272,low
93,77734.0,0.0,0.0,0.1684557167940368,medium
94,77734.0,0.0,0.0,0.512187164312604,high
95,77880.0,0.0,0.0,0.0118025563412274,low
96,77880.0,0.0,0.0,0.006769987782249022,low
97,77880.0,0.0,0.0,0.09904067357790942,low
98,77880.0,0.0,0.0,0.11142075777514814,low
99,77880.0,0.0,0.0,0.4198564048112375,high
100,78255.0,0.0,0.0,0.016056907055022326,low
101,78255.0,0.06451612903225806,0.0967741935483871,0.028774118574803387,low
102,78255.0,0.0,0.0,0.1405270332401873,low
103,78255.0,0.125,0.125,0.15809291239521073,medium
104,78255.0,0.0,0.0,0.4216934803684803,high
105,78348.0,0.07407407407407407,0.1111111111111111,0.04580057647143912,low
106,78348.0,0.03225806451612903,0.06451612903225806,0.01996685483414355,low
107,78348.0,0.0,0.0,0.13207392562379222,low
108,78348.0,0.375,0.5,0.22684935180753746,medium
109,78348.0,0.0,0.0,0.49183577232582937,high
110,78539.0,0.037037037037037035,0.037037037037037035,0.026517648387199062,low
111,78539.0,0.0,0.0,0.008342053914777227,low
112,78539.0,0.0,0.0,0.17443241869747714,medium
113,78539.0,0.375,1.0,0.22173728851995975,medium
114,78539.0,0.0,0.0,0.5726176697556582,high
115,78570.0,0.0,0.0,0.015544255492463353,low
116,78570.0,0.0,0.0,0.009928697316081151,low
117,78570.0,0.0,0.0,0.14358524704351017,low
118,78570.0,0.0,0.0,0.16153340292394894,medium
119,78570.0,0.0,0.0,0.5619781173449977,high
120,78768.0,0.0,0.0,0.01127649389848951,low
121,78768.0,0.0,0.0,0.006739103647151955,low
122,78768.0,0.0,0.0,0.11189428223388226,low
123,78768.0,0.0,0.0,0.12588106751311753,low
124,78768.0,0.0,0.0,0.43512445084509854,high
125,79041.0,0.1111111111111111,0.14814814814814814,0.06247760192651052,low
126,79041.0,0.04838709677419355,0.06451612903225806,0.026863750406920413,low
127,79041.0,0.0,0.0,0.2368914600899652,medium
128,79041.0,0.25,0.25,0.23585382284443113,medium
129,79041.0,0.0,0.0,0.5630236065386525,high
130,79065.0,0.037037037037037035,0.037037037037037035,0.03421563279179644,low
131,79065.0,0.0,0.0,0.011314808032840797,low
132,79065.0,0.3333333333333333,0.6666666666666666,0.19343957645374718,medium
133,79065.0,0.0,0.0,0.18511620252910183,medium
134,79065.0,0.0,0.0,0.5930907618634097,high
135,79067.0,0.1111111111111111,0.18518518518518517,0.05475661564957713,low
136,79067.0,0.04838709677419355,0.08064516129032258,0.020199199553661312,low
137,79067.0,0.3333333333333333,1.0,0.16631649295728337,medium
138,79067.0,0.25,1.0,0.16558798975343827,medium
139,79067.0,0.0,0.0,0.3983522633089705,medium
140,79077.0,0.0,0.0,0.014509003003787893,low
141,79077.0,0.016129032258064516,0.016129032258064516,0.013608843017160557,low
142,79077.0,0.3333333333333333,0.3333333333333333,0.18403179567308944,medium
143,79077.0,0.0,0.0,0.1532274096451739,medium
144,79077.0,0.0,0.0,0.5554453833603155,high
145,79083.0,0.037037037037037035,0.037037037037037035,0.025252223490235162,low
146,79083.0,0.0,0.0,0.007681471803879684,low
147,79083.0,0.0,0.0,0.11193215298373034,low
148,79083.0,0.25,0.625,0.1701438697740782,medium
149,79083.0,0.0,0.0,0.43979276450435034,high
150,79102.0,0.0,0.0,0.013573190487855671,low
151,79102.0,0.0,0.0,0.007982502172890097,low
152,79102.0,0.6666666666666666,1.0,0.15777272881881882,medium
153,79102.0,0.0,0.0,0.11625630776004427,low
154,79102.0,0.0,0.0,0.39674684824703493,medium
155,79238.0,0.07407407407407407,0.1111111111111111,0.02666238776577278,low
156,79238.0,0.0,0.0,0.003540966342950835,low
157,79238.0,0.0,0.0,0.030159095498897653,low
158,79238.0,0.25,0.375,0.045843710500362574,low
159,79238.0,0.0,0.0,0.15959650122172908,medium
160,79117.0,0.037037037037037035,0.037037037037037035,0.034014783558274815,low
161,79117.0,0.0,0.0,0.011022881660611128,low
162,79117.0,0.6666666666666666,2.0,0.22752555813336325,medium
163,79117.0,0.0,0.0,0.167654331059989,medium
164,79117.0,0.5,1.0,0.652461146686387,high
165,79140.0,0.0,0.0,0.012678595951689471,low
